Model,Feature,Importance,Importance_Pct
catboost,MonthCos,0.05633957617631709,0.056339576176317095
catboost,Impact_Cap_MW,0.053990448511644154,0.05399044851164416
catboost,Extreme_Heat_80,0.050048557785894364,0.05004855778589437
catboost,MWH_Rolling12,0.04782525828468943,0.047825258284689434
catboost,Humidity_x_Temp,0.04589248803215767,0.045892488032157674
catboost,DOWCos,0.043922282262911005,0.04392228226291101
catboost,BTM_Solar_Loss_From_ClearSky_MW,0.036892407492881606,0.03689240749288161
catboost,MWH_Lag168,0.036560536363459,0.036560536363459004
catboost,Daily_HDD,0.03207513560915139,0.03207513560915139
catboost,IsWinterSeason,0.031216188761623413,0.03121618876162342
catboost,Cloud_x_GHI,0.031157984696437036,0.031157984696437043
catboost,DayOfYear,0.030059735320223657,0.03005973532022366
catboost,Humidity_Norm,0.02996588942695151,0.02996588942695152
catboost,HDD_Squared,0.025914523658128328,0.02591452365812833
catboost,WeekOfYear,0.02012616001442723,0.020126160014427234
catboost,HDD,0.016160623398394344,0.016160623398394348
catboost,BTM_Midday_Impact,0.014254336144345714,0.014254336144345715
catboost,Cloud_x_Solar_Hour,0.013778335981680543,0.013778335981680547
catboost,BTM_x_Cloud,0.012525613890162964,0.012525613890162967
catboost,IsFriday,0.01198336586305574,0.011983365863055742
catboost,Solar_Midday_Flag,0.010068725027981895,0.010068725027981897
catboost,Cloud_x_ClearSky_GHI,0.00937873663858081,0.009378736638580812
catboost,Midday_Overcast_Solar_Loss_MW,0.006720909183781806,0.006720909183781807
catboost,IsMonday,0.005435051088539317,0.005435051088539318
catboost,PrecipIn,0.0031533825887997027,0.0031533825887997036
catboost,Extreme_Heat_85,0.0024429736428593974,0.002442973642859398
catboost,IsSummerSeason,0.0024406551063044612,0.0024406551063044617
catboost,Is_Raining,0.0016761642505983313,0.0016761642505983318
catboost,MonthSin,0.0007703418854199847,0.0007703418854199847
catboost,Month,0.0007508258214897209,0.000750825821489721
catboost,IsLikelySystemPeakHour,0.0006939154329196177,0.0006939154329196178
catboost,Rain_x_IsWeekend,0.0004452221757838483,0.00044522217578384836
catboost,IsSuperPeak,0.00042639217146787597,0.000426392171467876
catboost,IsHolidayAdjacent,0.0,0.0
catboost,IsPostHoliday,0.0,0.0
catboost,IsPreHoliday,0.0,0.0
catboost,IsHoliday,0.0,0.0
catboost,FiveMin_Load_Available,0.0,0.0
catboost,FiveMin_Data_Age_Hours,0.0,0.0
catboost,FiveMin_PrevHour_Avg_MW,0.0,0.0
catboost,FiveMin_PrevHour_Max_MW,0.0,0.0
catboost,FiveMin_PrevHour_Min_MW,0.0,0.0
catboost,FiveMin_PrevHour_Last_MW,0.0,0.0
catboost,FiveMin_PrevHour_Range_MW,0.0,0.0
catboost,FiveMin_PrevHour_Ramp_MW,0.0,0.0
catboost,FiveMin_PrevHour_Count,0.0,0.0
catboost,FiveMin_Ramp_15Min_MW,0.0,0.0
catboost,FiveMin_Ramp_30Min_MW,0.0,0.0
catboost,FiveMin_Ramp_60Min_MW,0.0,0.0
